DATA;ANO;MÊS;LOCAL;STATUS FABRICAÇÃO;CATEGORIA;MARCA;EMBALAGEM;TAMANHO;CÓDIGO;CONCAT;PRODUTO;NÚMERO DE CAMPANHA/MÊS;LEAD DE FABRICAÇÃO;CURVA ABC;COTA PR;CONSUMO/DIA;ESTOQUE SEGURANÇA (2 dias);PONTO DE REPOSIÇÃO;ESTOQUE MÁXIMO;LOTE DE PRODUÇÃO;ESTOQUE ATUAL;SUGESTÃO DE PRODUÇÃO;PRODUÇÃO DIA;PLANO PRODUÇÃO;KAMBAN ATUAL;COBERTURA ATUAL;COBERTURA PLANEJADA;KAMBAN FUTURO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;2LT;2000010029;RK012000010029;Tubaina 2L;2;15;A;18.219;828;1.656;14.078;24.843;16.171;8.672;16.171;0;;VERDE;10;10;VERDE
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;PET;2LT;2000010007;RK012000010007;Framboesa 2L;1;30;;2.712;123;247;3.945;5.548;4.418;1.130;4.418;0;;VERMELHO;9;9;AMARELO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;2LT;2000010032;RK012000010032;Uva 2L;2;15;;16.133;733;1.467;12.466;21.999;17.200;4.799;17.200;0;;VERMELHO;7;7;AMARELO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;2LT;2000010017;RK012000010017;Laranja 2L;2;15;;16.566;753;1.506;12.801;22.590;14.704;7.885;14.704;0;;VERDE;10;10;AMARELO
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;PET;2LT;2000010005;RK012000010005;Refriko Cola 2L;2;15;;9.365;426;851;7.236;12.770;8.870;3.900;8.870;0;;VERMELHO;9;9;AMARELO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;JUJUBA;PET;2LT;2000010023;RK012000010023;Tuba jujuba Tubaína 2L;2;15;;20.229;919;1.839;15.631;27.585;21.567;6.018;21.567;0;;AMARELO;7;7;VERDE
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;JUJUBA;PET;2LT;2000010074;RK012000010074;Tuba jujuba Laranja 2L;2;15;;3.877;176;352;2.996;5.286;3.441;1.845;3.441;0;;VERDE;10;10;AMARELO
08/09/26;2026;SET;RK01;SOB PEDIDO;REFRIGERNTE;TERNURA;PET;2LT;2000010035;RK012000010035;Ternura Tubaina 2L;1;30;;4.948;225;450;7.198;10.122;8.061;2.061;8.061;0;;VERMELHO;9;9;VERDE
08/09/26;2026;SET;RK01;SOB PEDIDO;REFRIGERNTE;TERNURA;PET;2LT;2000010034;RK012000010034;Ternura Laranja 2L;1;30;;2.524;115;229;3.671;5.162;4.411;751;4.411;0;;VERDE;7;7;VERMELHO
08/09/26;2026;SET;RK01;SOB PEDIDO;REFRIGERNTE;REFRISHOW;PET;2LT;2000010033;RK012000010033;Refrishow Guaraná 2l;1;30;;4.783;217;435;6.958;9.784;7.507;2.277;7.507;0;;VERMELHO;10;10;AMARELO
08/09/26;2026;SET;RK01;SOB PEDIDO;REFRIGERNTE;REFRISHOW;PET;2LT;2000010084;RK012000010084;Refrishow Laranja 2l;1;30;;1.482;67;135;2.155;3.031;2.414;617;2.414;0;;VERDE;9;9;AMARELO
08/09/26;2026;SET;RK01;NÃO FABRICA;REFRIGERNTE;REFRIKO;PET;250 ML;2600010080;RK012600010080;Tubaina 250ml BOLINHA;1;30;;0;0;0;0;0;0;0;0;0;;AMARELO;;;AMARELO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;200 ML;2000010019;RK012000010019;Limão 200ml;2;15;;11.020;501;1.002;8.516;15.028;9.782;5.246;9.782;0;;AMARELO;10;10;VERMELHO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;200 ML;2000010008;RK012000010008;Guaraná 200ml;2;15;A;41.291;1.877;3.754;31.907;56.307;39.109;17.198;39.109;0;;AMARELO;9;9;AMARELO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;200 ML;2000010081;RK012000010081;Guaraná Zero 200ml ;2;15;;5.697;259;518;4.403;7.769;6.074;1.695;6.074;0;;AMARELO;7;7;VERDE
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;200 ML;2000010024;RK012000010024;Tubaina 200ml;2;15;A;31.041;1.411;2.822;23.986;42.328;27.553;14.775;27.553;0;;AMARELO;10;10;AMARELO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;200 ML;2000010031;RK012000010031;Uva 200ml;2;15;;8.200;373;745;6.336;11.182;7.766;3.415;7.766;0;;AMARELO;9;9;VERDE
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;200 ML;2000010014;RK012000010014;Laranja 200ml;2;15;;32.766;1.489;2.979;25.319;44.680;34.933;9.748;34.933;0;;AMARELO;7;7;AMARELO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;200 ML;2000010002;RK012000010002;Refriko Cola 200ml;2;15;;9.519;433;865;7.356;12.981;8.450;4.531;8.450;0;;VERDE;10;10;VERMELHO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;MALDIVES;PET;250 ML;2600010003;RK012600010003;Água Tônica Maldives 250ml;1;30;;1.977;90;180;2.875;4.043;3.220;823;3.220;0;;VERDE;9;9;AMARELO
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;250 ML;2600020015;RK012600020015;Furioso 250ml;2;15;;57.277;2.604;5.207;44.260;78.105;61.065;17.040;61.065;0;;AMARELO;7;7;VERMELHO
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;250 ML;2600020009;RK012600020009;Furioso Melancia 250ml;2;15;;5.171;235;470;3.996;7.052;4.590;2.462;4.590;0;;VERDE;10;10;AMARELO
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;250 ML;2600020001;RK012600020001;Furioso Açaí 250ml;2;15;;3.798;173;345;2.935;5.179;3.597;1.582;3.597;0;;VERMELHO;9;9;VERDE
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;250 ML;2600020002;RK012600020002;Furioso Uva Verde e Pessego 250ml;2;15;;2.697;123;245;2.084;3.678;2.876;802;2.876;0;;VERMELHO;7;7;AMARELO
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;250 ML;2600020005;RK012600020005;Furioso Melão 250ml;2;15;;4.715;214;429;3.643;6.429;4.185;2.244;4.185;0;;VERMELHO;10;10;VERDE
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;250 ML;2600020018;RK012600020018;Furioso Tropical 250ml;2;15;;2.003;91;182;1.548;2.731;1.897;834;1.897;0;;AMARELO;9;9;VERMELHO
08/09/26;2026;SET;RK01;FABRICA;ENERGETICO;FURIOSO;PET;250 ML;2600020047;RK012600020047;Furioso Citrus 250ml;2;15;;2.105;96;191;1.626;2.870;2.244;626;2.244;0;;AMARELO;7;7;AMARELO
08/09/26;2026;SET;RK01;FABRICA;QUENTE;NOCH;PET;270 ML;2600030094;RK012600030094;Noch Ice Limão 270ml       ;1;30;;2.623;119;238;3.815;5.365;4.116;1.248;4.116;0;;AMARELO;10;10;AMARELO
08/09/26;2026;SET;RK01;FABRICA;QUENTE;NOCH;PET;270 ML;2600030095;RK012600030095;Noch Ice Maracujá 270ml    ;1;30;;2.506;114;228;3.645;5.126;4.082;1.044;4.082;0;;AMARELO;9;9;AMARELO
08/09/26;2026;SET;RK01;FABRICA;QUENTE;NOCH;PET;270 ML;2600030096;RK012600030096;Noch Ice Melancia 270ml;1;30;;2.608;119;237;3.794;5.336;4.559;776;4.559;0;;VERMELHO;7;7;VERDE
08/09/26;2026;SET;RK01;NÃO FABRICA;REFRIGERNTE;REFRIKO;PET;2,5 LT;2600010091;RK012600010091;Guarana 2,5L;1;30;;0;0;0;0;0;0;0;0;0;;VERMELHO;;;VERMELHO
08/09/26;2026;SET;RK01;NÃO FABRICA;REFRIGERNTE;REFRIKO;PET;2,5 LT;2600010092;RK012600010092;Tubaina 2,5L;1;30;;0;0;0;0;0;0;0;0;0;;VERMELHO;;;VERMELHO
08/09/26;2026;SET;RK01;NÃO FABRICA;REFRIGERNTE;REFRIKO;PET;2,5 LT;2600010090;RK012600010090;Cola 2,5L;1;30;;0;0;0;0;0;0;0;0;0;;VERMELHO;;;AMARELO
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;PET;3 LT;2600010013;RK012600010013;Guarana 3L;1;30;;1.313;60;119;1.910;2.686;2.061;625;2.061;0;;VERDE;10;10;AMARELO
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;PET;3 LT;2600010030;RK012600010030;Tubaina 3L;1;30;;1.092;50;99;1.588;2.233;1.779;455;1.779;0;;VERMELHO;9;9;AMARELO
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;PET;3 LT;2600010006;RK012600010006;Cola 3L;1;30;;1.273;58;116;1.851;2.603;2.225;379;2.225;0;;VERDE;7;7;VERDE
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;500 ML;2000010009;RK012000010009;Guaraná 500ml;1;30;;1.711;78;156;2.489;3.500;2.686;815;2.686;0;;VERDE;10;10;VERMELHO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;500 ML;2000010026;RK012000010026;Refriko Tubaína 500ml;1;30;;865;39;79;1.258;1.770;1.409;360;1.409;0;;VERDE;9;9;AMARELO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;500 ML;2000010003;RK012000010003;Refriko Cola 500ml;1;30;;780;35;71;1.135;1.596;1.364;232;1.364;0;;AMARELO;7;7;VERMELHO
08/09/26;2026;SET;RK01;FABRICA;REFRIGERNTE;REFRIKO;PET;500 ML;2000010015;RK012000010015;Laranja 500ml;1;30;;799;36;73;1.162;1.634;1.254;380;1.254;0;;VERDE;10;10;VERDE
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;PET;1 LT;2600020063;RK012600020063;Furioso 1L;1;30;;301;14;27;437;615;490;125;490;0;;VERDE;9;9;VERDE
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;473 ML;2600020016;RK012600020016;Furioso 473ml;1;30;A;15.711;714;1.428;22.852;32.136;27.462;4.674;27.462;0;;VERMELHO;7;7;AMARELO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;473 ML;2600020019;RK012600020019;Furioso Tropical 473ml;1;30;;1.861;85;169;2.706;3.806;2.920;886;2.920;0;;AMARELO;10;10;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;473 ML;2600020012;RK012600020012;Furioso Melon 473ml;1;30;;3.183;145;289;4.630;6.510;5.185;1.326;5.185;0;;VERDE;9;9;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;473 ML;2600020010;RK012600020010;Furioso Melancia 473 ml;1;30;;2.441;111;222;3.550;4.992;4.266;726;4.266;0;;AMARELO;7;7;AMARELO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;473 ML;2600020068;RK012600020068;Furioso Uva Verde e Pessego 473ml;1;30;A;4.861;221;442;7.070;9.943;7.629;2.314;7.629;0;;AMARELO;10;10;VERDE
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;473 ML;2600020004;RK012600020004;Furioso Tangerina Zero 473 ml;1;30;A;8.100;368;736;11.782;16.568;13.195;3.374;13.195;0;;VERMELHO;9;9;AMARELO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;473 ML;2600020051;RK012600020051;Furioso Melancia Zero 473 ml;1;30;;2.943;134;268;4.281;6.020;5.145;876;5.145;0;;AMARELO;7;7;AMARELO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;473 ML;2600020050;RK012600020050;Furioso Zero 473ml;1;30;;3.428;156;312;4.987;7.012;5.381;1.632;5.381;0;;VERDE;10;10;AMARELO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;473 ML;2600020094;RK012600020094;Furioso Ultra Zero 473 ml;1;30;;5.785;263;526;8.415;11.833;9.424;2.409;9.424;0;;AMARELO;9;9;AMARELO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;269 ML;2600020052;RK012600020052;Furioso Tradicional 269ml;1;30;;988;45;90;1.437;2.020;1.726;294;1.726;0;;VERDE;7;7;AMARELO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;269 ML;2600020056;RK012600020056;Furioso Melon 269ml;1;30;;214;10;19;311;437;335;102;335;0;;AMARELO;10;10;AMARELO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;269 ML;2600020054;RK012600020054;Furioso Melancia 269ml;1;30;;222;10;20;323;454;361;92;361;0;;VERDE;9;9;VERDE
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;269 ML;2600020055;RK012600020055;Furioso Melancia Zero 269ml;1;30;;456;21;41;664;933;797;136;797;0;;AMARELO;7;7;AMARELO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;269 ML;2600020057;RK012600020057;Furioso Tropical 269ml;1;30;;202;9;18;294;414;317;96;317;0;;AMARELO;10;10;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;269 ML;2600020065;RK012600020065;Furioso Uva Verde e Pessego 269ml;1;30;;425;19;39;618;869;692;177;692;0;;VERMELHO;9;9;VERDE
08/09/26;2026;SET;RK01;REVENDE;ENERGETICO;FURIOSO;LATA;269 ML;2600020053;RK012600020053;Furioso zero 269ml;1;30;;418;19;38;608;856;731;124;731;0;;VERDE;7;7;AMARELO
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;LATA;350 ML;2600010015;RK012600010015;Guarana 6x350ml;1;30;;2.157;98;196;3.138;4.412;3.386;1.027;3.386;0;;VERMELHO;10;10;VERDE
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;LATA;350 ML;2600010032;RK012600010032;Tubaina 6x350ml;1;30;;1.577;72;143;2.294;3.226;2.569;657;2.569;0;;VERDE;9;9;VERDE
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;LATA;350 ML;2600010020;RK012600010020;Laranja 6x350ml       ;1;30;;1.540;70;140;2.240;3.150;2.692;458;2.692;0;;VERMELHO;7;7;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;LATA;350 ML;2600010008;RK012600010008;Cola 6x350ml          ;1;30;;1.336;61;121;1.943;2.733;2.097;636;2.097;0;;VERDE;10;10;VERDE
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;LATA;350 ML;2600010079;RK012600010079;Uva 6x350ml          ;1;30;;637;29;58;927;1.303;1.038;265;1.038;0;;VERDE;9;9;VERDE
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;VIDRO;300 ML;2600010027;RK012600010027;Tubaína 300 ml;2;15;A;5.397;245;491;4.170;7.359;5.754;1.606;5.754;0;;AMARELO;7;7;AMARELO
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;VIDRO;300 ML;2600010002;RK012600010002;Tubaína Zero 300 ml  ;1;30;A;1.403;64;128;2.041;2.871;2.203;668;2.203;0;;VERMELHO;10;10;VERDE
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;VIDRO;300 ML;2600010086;RK012600010086;Tubaína Retrô 355 ml;1;30;;0;0;0;0;0;0;0;0;0;;VERMELHO;;;VERDE
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;VIDRO;300 ML;2600010012;RK012600010012;Guaraná 600ml;1;30;;672;31;61;978;1.375;1.175;200;1.175;0;;VERMELHO;7;7;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;VIDRO;300 ML;2600010029;RK012600010029;Refriko Tubaína 600ml;1;30;;602;27;55;876;1.231;945;287;945;0;;VERMELHO;10;10;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;VIDRO;300 ML;2600010018;RK012600010018;Laranja 600ml;1;30;;418;19;38;609;856;682;174;682;0;;VERMELHO;9;9;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;REFRIGERNTE;REFRIKO;VIDRO;300 ML;2600010022;RK012600010022;Limão 600ml;1;30;;359;16;33;522;734;627;107;627;0;;VERDE;7;7;VERMELHO
08/09/26;2026;SET;RK01;NÃO FABRICA;REFRIGERNTE;REFRIKO;VIDRO;300 ML;;RK01;Tubaína Funada 605ml;4;7,5;;0;0;0;0;0;0;0;0;0;;VERDE;;;VERDE
08/09/26;2026;SET;RK01;FABRICA;QUENTE;CAIDEIRA;PET;450 ML;2600110048;RK012600110048;Caideira 450ml;1;30;;990;45;90;1.440;2.025;1.613;412;1.613;0;;AMARELO;9;9;AMARELO
08/09/26;2026;SET;RK01;REVENDE;QUENTE;CAWBOYS;LATA;350 ML;2600030150;RK012600030150;Coquetel Cowboys Pessego 350ml;1;30;;2.186;99;199;3.179;4.471;3.820;650;3.820;0;;VERDE;7;7;VERDE
08/09/26;2026;SET;RK01;SOB PEDIDO;QUENTE;JAMES;VIDRO;900 ML;-;RK01-;James Cook Gin 900ml  - INTER;1;30;;0;0;0;0;0;0;0;0;0;;AMARELO;;;AMARELO
08/09/26;2026;SET;RK01;SOB PEDIDO;QUENTE;JAMES;VIDRO;900 ML;-;RK01-;James Cook Vodka 900ml  - INTER;1;30;;0;0;0;0;0;0;0;0;0;;AMARELO;;;AMARELO
08/09/26;2026;SET;RK01;REVENDE;QUENTE;JAMES;VIDRO;900 ML;2600130021;RK012600130021;James Cook Gin 900ml;1;30;;25;1;2;36;51;43;7;43;0;;VERMELHO;7;7;AMARELO
08/09/26;2026;SET;RK01;REVENDE;QUENTE;JAMES;VIDRO;900 ML;2600120034;RK012600120034;James Cook Vodka 900ml;1;30;;27;1;2;40;56;43;13;43;0;;VERMELHO;10;10;VERDE
08/09/26;2026;SET;RK01;REVENDE;QUENTE;BAMBOA;VIDRO;970 ML;2600120035;RK012600120035;Vodka Trad. 970ml;2;15;;788;36;72;609;1.074;746;328;746;0;;VERMELHO;9;9;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;MOEMA;LATA;269 ML;2000040012;RK012000040012;Moema 269 ml;1;30;;8;0;1;12;16;14;2;14;0;;VERMELHO;7;7;VERDE
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;MOEMA;LATA;350 ML;2000040014;RK012000040014;Moema 350 ml;2;15;A;70.837;3.220;6.440;54.737;96.596;62.877;33.718;62.877;0;;VERDE;10;10;VERDE
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;MOEMA;LATA;473 ML;2000040015;RK012000040015;Moema 473 ml;1;30;;7.652;348;696;11.130;15.652;12.465;3.187;12.465;0;;VERDE;9;9;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;BAMBOA;LATA;269 ML;2000040001;RK012000040001;Bamboa 269 ml;1;30;;4;0;0;5;7;6;1;6;0;;VERDE;7;7;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;BAMBOA;LATA;350 ML;2000040004;RK012000040004;Bamboa  350 ml;1;30;A;1.557;71;142;2.264;3.184;2.443;741;2.443;0;;AMARELO;10;10;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;BAMBOA;LATA;473 ML;2000040005;RK012000040005;Bamboa 473 ml;1;30;;7;0;1;10;14;11;3;11;0;;AMARELO;9;9;VERDE
08/09/26;2026;SET;RK01;SOB PEDIDO;QUENTE;B.ROMA;LATA;473 ML;2000030032;RK012000030032;Bella Roma 6X473 ml - INTER;1;30;;0;0;0;0;0;0;0;0;0;;AMARELO;;;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;QUENTE;B.ROMA;LATA;473 ML;2000030002;RK012000030002;Bella Roma 6X473 ml;2;15;A;72.602;3.300;6.600;56.102;99.003;64.444;34.559;64.444;0;;AMARELO;10;10;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;QUENTE;B.ROMA;LATA;269 ML;2000030001;RK012000030001;Bella Roma 6X265 ml;1;30;;2.685;122;244;3.906;5.492;4.374;1.118;4.374;0;;VERDE;9;9;VERDE
08/09/26;2026;SET;RK01;SOB PEDIDO;QUENTE;B.ROMA;LATA;269 ML;2000030027;RK012000030027;Bella Roma 6X265 ml - INTER;1;30;;0;0;0;0;0;0;0;0;0;;VERDE;;;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;QUENTE;B.ROMA;VIDRO;600 ML;2000030003;RK012000030003;Bella Roma 6X600 ml;1;30;A;2.149;98;195;3.126;4.397;3.373;1.023;3.373;0;;VERMELHO;10;10;VERMELHO
08/09/26;2026;SET;RK01;SOB PEDIDO;QUENTE;B.ROMA;VIDRO;600 ML;2000030025;RK012000030025;Bella Roma 6X600 ml - INTER;1;30;;0;0;0;0;0;0;0;0;0;;VERMELHO;;;AMARELO
08/09/26;2026;SET;RK01;DESCONTINUADA;CERVEJA;MOEMA;VIDRO;300 ML;2000040016;RK012000040016;Moema 300ml - RET;1;30;A;0;0;0;0;0;0;0;0;0;;AMARELO;;;VERDE
08/09/26;2026;SET;RK01;DESCONTINUADA;CERVEJA;MOEMA;VIDRO;300 ML;2100040015;RK012100040015;Moema 300ml  RET - IND;1;30;;0;0;0;0;0;0;0;0;0;;VERDE;;;AMARELO
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;MOEMA;VIDRO;355 ML;2000040035;RK012000040035;Moema 355 ml;1;30;;0;0;0;0;0;0;0;0;0;;VERDE;;;VERDE
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;MOEMA;VIDRO;355 ML;2100040018;RK012100040018;Moema 355 ml - IND;1;30;;0;0;0;0;0;0;0;0;0;;VERMELHO;;;VERDE
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;BAMBOA;VIDRO;330 ML;2000040003;RK012000040003;Bamboa 330ml;1;30;;163;7;15;237;333;255;77;255;0;;VERDE;10;10;VERDE
08/09/26;2026;SET;RK01;SOB PEDIDO;CERVEJA;BAMBOA;VIDRO;330 ML;2000040039;RK012000040039;Bamboa 330ml - INTER;1;30;;0;0;0;0;0;0;0;0;0;;VERMELHO;;;VERMELHO
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;MOEMA;VIDRO;600 ML;2000040017;RK012000040017;Moema 600ml - RET;1;30;;0;0;0;0;0;0;0;0;0;;VERMELHO;;;AMARELO
08/09/26;2026;SET;RK01;REVENDE;CERVEJA;MOEMA;VIDRO;600 ML;2000040018;RK012000040018;Moema 600ml - One Way;1;30;;0;0;0;0;0;0;0;0;0;;AMARELO;;;VERDE
08/09/26;2026;SET;RK01;REVENDE;AGUA;HIDRATAR;PET;500 ML;2300050002;RK012300050002;Hidratar S/G 500ML    ;2;15;A;43.147;1.961;3.922;33.341;58.837;40.866;17.971;40.866;0;;AMARELO;9;9;VERDE
08/09/26;2026;SET;RK01;REVENDE;AGUA;HIDRATAR;PET;500 ML;2300050001;RK012300050001;Hidratar C/G 500ML    ;2;15;A;33.988;1.545;3.090;26.264;46.348;36.236;10.112;36.236;0;;AMARELO;7;7;AMARELO
08/09/26;2026;SET;RK01;REVENDE;AGUA;HIDRATAR;PET;1,5 LT;2300050004;RK012300050004;Hidratar S/G 1,5ML     ;1;30;;3.291;150;299;4.786;6.731;5.165;1.566;5.165;0;;AMARELO;10;10;VERDE
08/09/26;2026;SET;RK01;REVENDE;AGUA;HIDRATAR;PET;1,5 LT;2300050007;RK012300050007;Hidratar C/G 1,5ML     ;1;30;;1.282;58;117;1.864;2.621;2.088;534;2.088;0;;AMARELO;9;9;AMARELO
08/09/26;2026;SET;RK01;REVENDE;AGUA;HIDRATAR;COPO;200 ML;2300050012;RK012300050012;Hidratar S/G 200ML     ;1;30;;1.488;68;135;2.165;3.044;2.602;443;2.602;0;;VERMELHO;7;7;VERDE
