ESTADO;CÓDIGO;CONCATENADO2;DESC. COMPONENTE;CLASSE;GRUPO;QUANTIDADE;FORNECEDOR;CUSTO TOTAL (ATUAL);MÊS;ANO;MÊS/ANO;Unnamed: 12;Unnamed: 13
BA;7674714732;BA7674714732;AROMA - ITEM 008;AROMA;BRUSK DEMAIS;45;RotaVita Materiais;2427;OUT;2022;10/2022;;
BA;7179785575;BA7179785575;AROMA - ITEM 002;AROMA;ENERGÉTICO;214;RotaVita Materiais;7.940,33;NOV;2022;11/2022;;
BA;4274404309;BA4274404309;AROMA - ITEM 010;AROMA;ENERGÉTICO;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;4124528771;BA4124528771;AROMA - ITEM 009;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;7428243143;TO7428243143;AROMA - ITEM 011;AROMA;ENERGÉTICO;135;RotaVita Materiais;6.253,57;SET;2022;09/2022;;
TO;7428243143;TO7428243143;AROMA - ITEM 011;AROMA;ENERGÉTICO;0;RotaVita Materiais;0;JUL;2022;07/2022;;
TO;4591838149;TO4591838149;AROMA - ITEM 012;AROMA;ENERGÉTICO;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;4124528771;BA4124528771;AROMA - ITEM 009;AROMA;REFRIGERANTE;690;RotaVita Materiais;33123;OUT;2022;10/2022;;
BA;4124528771;BA4124528771;AROMA - ITEM 009;AROMA;REFRIGERANTE;438;RotaVita Materiais;21002;NOV;2022;11/2022;;
TO;4591838149;TO4591838149;AROMA - ITEM 012;AROMA;ENERGÉTICO;481;RotaVita Materiais;28.367,52;SET;2022;09/2022;;
TO;4591838149;TO4591838149;AROMA - ITEM 012;AROMA;ENERGÉTICO;603;RotaVita Materiais;35530;OUT;2022;10/2022;;
BA;6744158662;BA6744158662;AROMA - ITEM 011;AROMA;ENERGÉTICO;0;RotaVita Materiais;0;JUL;2022;07/2022;;
TO;8125204265;TO8125204265;AROMA - ITEM 013;AROMA;DELIRIO;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;2162695835;TO2162695835;AROMA - ITEM 014;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;JUL;2022;07/2022;;
TO;1271052865;TO1271052865;AROMA - ITEM 015;AROMA;VODKA;358;InsuTera Materiais;9264;AGO;2022;08/2022;;
TO;1271052865;TO1271052865;AROMA - ITEM 015;AROMA;VODKA;571;RotaVita Materiais;14785;OUT;2022;10/2022;;
TO;5605518300;TO5605518300;AROMA - ITEM 016;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;6744158662;BA6744158662;AROMA - ITEM 011;AROMA;ENERGÉTICO;77;RotaVita Materiais;3.593,45;SET;2022;09/2022;;
BA;1714655572;BA1714655572;AROMA - ITEM 017;AROMA;ENERGÉTICO;185;RotaVita Materiais;10.918,11;SET;2022;09/2022;;
BA;1714655572;BA1714655572;AROMA - ITEM 017;AROMA;ENERGÉTICO;174;RotaVita Materiais;10249;OUT;2022;10/2022;;
TO;3348883022;TO3348883022;EDULCORANTE - ITEM 002;EDULCORANTE;XAROPARIA;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;7549089823;BA7549089823;AROMA - ITEM 018;AROMA;ENERGÉTICO;0;RotaVita Materiais;0;AGO;2022;08/2022;;
CE;48430590;CE48430590;AROMA - ITEM 004;AROMA;REFRIGERANTE;33;RotaVita Materiais;2.556,66;OUT;2022;10/2022;;
TO;7192;TO7192;NÃO PRODUTIVO - ITEM 004;NÃO PRODUTIVO;CIP;22;RotaVita Materiais;0;OUT;2022;10/2022;;
CE;16956314;CE16956314;AÇUCAR - ITEM 001;AÇUCAR;XAROPARIA;436155;RotaVita Materiais;993527;NOV;2022;11/2022;;
TO;3755354834;TO3755354834;ACID.E CONSERV. - ITEM 004;ACID.E CONSERV.;REF/ENER/BRUSK/TON;865;PrimaSul S.A.;10462;AGO;2022;08/2022;;
BA;5744519955;BA5744519955;AROMA - ITEM 019;AROMA;TAHITI;14;RotaVita Materiais;23024;NOV;2022;11/2022;;
BA;5605518300;BA5605518300;AROMA - ITEM 016;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;4929817036;TO4929817036;CANTONEIRA - ITEM 001;CANTONEIRA;CANTONEIRA;2173;MasterSul Group;3520;AGO;2022;08/2022;;
TO;2387303752;TO2387303752;SEPARADOR DE CAMADAS - ITEM 001;SEPARADOR DE CAMADAS;CHAPA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;5605518300;BA5605518300;AROMA - ITEM 016;AROMA;REFRIGERANTE;773;RotaVita Materiais;21644;SET;2022;09/2022;;
BA;5605518300;BA5605518300;AROMA - ITEM 016;AROMA;REFRIGERANTE;550;RotaVita Materiais;15388;OUT;2022;10/2022;;
BA;5605518300;BA5605518300;AROMA - ITEM 016;AROMA;REFRIGERANTE;372;RotaVita Materiais;10405;NOV;2022;11/2022;;
BA;3348883022;BA3348883022;EDULCORANTE - ITEM 002;EDULCORANTE;XAROPARIA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;7805786051;TO7805786051;EDULCORANTE - ITEM 003;EDULCORANTE;XAROPARIA;226;RotaVita Materiais;3203;OUT;2022;10/2022;;
CE;93761253;CE93761253;EDULCORANTE - ITEM 002;EDULCORANTE;XAROPARIA;1331;RotaVita Materiais;93675;OUT;2022;10/2022;;
TO;9257537073;TO9257537073;ACID.E CONSERV. - ITEM 005;ACID.E CONSERV.;ENERG/DELIRIO;0;RotaVita Materiais;0;SET;2022;09/2022;;
BA;3348883022;BA3348883022;EDULCORANTE - ITEM 002;EDULCORANTE;XAROPARIA;156;RotaVita Materiais;9.547,02;DEZ;2022;12/2022;;
BA;3755354834;BA3755354834;ACID.E CONSERV. - ITEM 004;ACID.E CONSERV.;REF/ENER/BRUSK/TON;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;3755354834;BA3755354834;ACID.E CONSERV. - ITEM 004;ACID.E CONSERV.;REF/ENER/BRUSK/TON;1299;DeltaAlfa S.A.;15715;AGO;2022;08/2022;;
TO;1809086277;TO1809086277;CERVEJARIA - ITEM 003;CERVEJARIA;OUTROS;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;1809086277;TO1809086277;CERVEJARIA - ITEM 003;CERVEJARIA;OUTROS;2322;RotaVita Materiais;321259;OUT;2022;10/2022;;
TO;4264452743;TO4264452743;CERVEJARIA - ITEM 004;CERVEJARIA;OUTROS;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;4264452743;TO4264452743;CERVEJARIA - ITEM 004;CERVEJARIA;OUTROS;429;RotaVita Materiais;1745;OUT;2022;10/2022;;
MG;7804;MG7804;NÃO PRODUTIVO - ITEM 005;NÃO PRODUTIVO;CIP;0;RotaVita Materiais;0;SET;2022;09/2022;;
BA;3755354834;BA3755354834;ACID.E CONSERV. - ITEM 004;ACID.E CONSERV.;REF/ENER/BRUSK/TON;1184;RotaVita Materiais;14332;NOV;2022;11/2022;;
BA;7805786051;BA7805786051;EDULCORANTE - ITEM 003;EDULCORANTE;XAROPARIA;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;7805786051;BA7805786051;EDULCORANTE - ITEM 003;EDULCORANTE;XAROPARIA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;7805786051;BA7805786051;EDULCORANTE - ITEM 003;EDULCORANTE;XAROPARIA;370;RotaVita Materiais;5242;SET;2022;09/2022;;
BA;7805786051;BA7805786051;EDULCORANTE - ITEM 003;EDULCORANTE;XAROPARIA;411;RotaVita Materiais;5825;OUT;2022;10/2022;;
BA;7805786051;BA7805786051;EDULCORANTE - ITEM 003;EDULCORANTE;XAROPARIA;266;RotaVita Materiais;3773;NOV;2022;11/2022;;
TO;4104172614;TO4104172614;AROMA - ITEM 020;AROMA;KIT ENERGÉTICO;55,78;VitaCoper Distribuidora;115.845,18;SET;2022;09/2022;;
TO;4104172614;TO4104172614;AROMA - ITEM 020;AROMA;KIT ENERGÉTICO;85,40;RotaVita Materiais;177.363,79;NOV;2022;11/2022;;
BA;3251521657;BA3251521657;ACID.E CONSERV. - ITEM 005;ACID.E CONSERV.;ENERG/DELIRIO;729;PrimaSul S.A.;6036;AGO;2022;08/2022;;
BA;3251521657;BA3251521657;ACID.E CONSERV. - ITEM 005;ACID.E CONSERV.;ENERG/DELIRIO;0;RotaVita Materiais;0;JUL;2022;07/2022;;
TO;7752605818;TO7752605818;AROMA - ITEM 021;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;7752605818;TO7752605818;AROMA - ITEM 021;AROMA;REFRIGERANTE;505;RotaVita Materiais;13056;OUT;2022;10/2022;;
BA;3251521657;BA3251521657;ACID.E CONSERV. - ITEM 005;ACID.E CONSERV.;ENERG/DELIRIO;6633;RotaVita Materiais;54.918,80;SET;2022;09/2022;;
BA;9589383299;BA9589383299;AROMA - ITEM 022;AROMA;BRUSK LEMON;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;9589383299;BA9589383299;AROMA - ITEM 022;AROMA;BRUSK LEMON;200;VitaGlobal Insumos;20.610,65;SET;2022;09/2022;;
BA;9589383299;BA9589383299;AROMA - ITEM 022;AROMA;BRUSK LEMON;209;RotaVita Materiais;21.600,72;OUT;2022;10/2022;;
CE;17709131;CE17709131;ACID.E CONSERV. - ITEM 004;ACID.E CONSERV.;REF/ENER/BRUSK/TON;1430;RotaVita Materiais;14798;OUT;2022;10/2022;;
TO;8570601696;TO8570601696;ROTULO - ITEM 001;ROTULO;ADESIVO;363;RotaVita Materiais;20,35;SET;2022;09/2022;;
TO;8644797837;TO8644797837;CORANTE - ITEM 001;CORANTE;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;8644797837;TO8644797837;CORANTE - ITEM 001;CORANTE;REFRIGERANTE;0;RotaVita Materiais;0;JUL;2022;07/2022;;
TO;8644797837;TO8644797837;CORANTE - ITEM 001;CORANTE;REFRIGERANTE;190;RotaVita Materiais;1422;OUT;2022;10/2022;;
BA;9589383299;BA9589383299;AROMA - ITEM 022;AROMA;BRUSK LEMON;205;RotaVita Materiais;21.177,55;JAN;2023;01/2023;;
BA;7891776034;BA7891776034;AROMA - ITEM 023;AROMA;KIT ENERGÉTICO;12,58;RotaVita Materiais;28.162,86;AGO;2022;08/2022;;
TO;3365966026;TO3365966026;CORANTE - ITEM 002;CORANTE;ENERGÉTICO;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;3365966026;TO3365966026;CORANTE - ITEM 002;CORANTE;ENERGÉTICO;6;RotaVita Materiais;315;OUT;2022;10/2022;;
BA;7891776034;BA7891776034;AROMA - ITEM 023;AROMA;KIT ENERGÉTICO;14,40;RotaVita Materiais;32.219,47;OUT;2022;10/2022;;
BA;9375474154;BA9375474154;AROMA - ITEM 020;AROMA;KIT ENERGÉTICO;147,68;RotaVita Materiais;301.968,13;AGO;2022;08/2022;;
TO;8733374366;TO8733374366;CORANTE - ITEM 003;CORANTE;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;9375474154;BA9375474154;AROMA - ITEM 020;AROMA;KIT ENERGÉTICO;133,62;RotaVita Materiais;273.229,34;SET;2022;09/2022;;
BA;7752605818;BA7752605818;AROMA - ITEM 021;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;SET;2022;09/2022;;
TO;4044618118;TO4044618118;CAIXA - ITEM 001;CAIXA;TUBAINA;24739;NorQuim Logística;41808;SET;2022;09/2022;;
TO;4044618118;TO4044618118;CAIXA - ITEM 001;CAIXA;TUBAINA;0;RotaVita Materiais;0;JUL;2022;07/2022;;
TO;4044618118;TO4044618118;CAIXA - ITEM 001;CAIXA;TUBAINA;22806;RotaVita Materiais;38542;OUT;2022;10/2022;;
TO;4317820540;TO4317820540;CAIXA - ITEM 002;CAIXA;CERVEJA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;5915321687;TO5915321687;CAIXA - ITEM 003;CAIXA;CERVEJA;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;7752605818;BA7752605818;AROMA - ITEM 021;AROMA;REFRIGERANTE;2741;RotaVita Materiais;74475;NOV;2022;11/2022;;
CE;17844317;CE17844317;EDULCORANTE - ITEM 003;EDULCORANTE;XAROPARIA;673;RotaVita Materiais;13376;OUT;2022;10/2022;;
CE;46751272;CE46751272;CONCENT./KITs - ITEM 002;CONCENT./KITs;KIT COLA;2033;RotaVita Materiais;45518;OUT;2022;10/2022;;
CE;46751272;CE46751272;CONCENT./KITs - ITEM 002;CONCENT./KITs;KIT COLA;5221;RotaVita Materiais;116896;OUT;2022;10/2022;;
CE;65565174;CE65565174;NÃO PRODUTIVO - ITEM 006;NÃO PRODUTIVO;CIP;0;RotaVita Materiais;0;SET;2022;09/2022;;
TO;8260012026;TO8260012026;EMULSAO - ITEM 001;EMULSAO;XAROPARIA;538;VitaCoper Distribuidora;206760;AGO;2022;08/2022;;
TO;8260012026;TO8260012026;EMULSAO - ITEM 001;EMULSAO;XAROPARIA;252;VitaCoper Distribuidora;96.732,47;OUT;2022;10/2022;;
BA;7752605818;BA7752605818;AROMA - ITEM 021;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;7752605818;BA7752605818;AROMA - ITEM 021;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;7279736766;TO7279736766;EMULSAO - ITEM 002;EMULSAO;XAROPARIA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;7279736766;TO7279736766;EMULSAO - ITEM 002;EMULSAO;XAROPARIA;198;RotaVita Materiais;6.496,02;OUT;2022;10/2022;;
BA;7752605818;BA7752605818;AROMA - ITEM 021;AROMA;REFRIGERANTE;2823;RotaVita Materiais;76706;OUT;2022;10/2022;;
BA;8644797837;BA8644797837;CORANTE - ITEM 001;CORANTE;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
CE;79716973;CE79716973;NÃO PRODUTIVO - ITEM 007;NÃO PRODUTIVO;CIP;0;RotaVita Materiais;0;OUT;2022;10/2022;;
BA;8644797837;BA8644797837;CORANTE - ITEM 001;CORANTE;REFRIGERANTE;295;RotaVita Materiais;2209;OUT;2022;10/2022;;
BA;3365966026;BA3365966026;CORANTE - ITEM 002;CORANTE;ENERGÉTICO;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;3365966026;BA3365966026;CORANTE - ITEM 002;CORANTE;ENERGÉTICO;6;RotaVita Materiais;281;OUT;2022;10/2022;;
TO;2648919840;TO2648919840;EMULSAO - ITEM 003;EMULSAO;XAROPARIA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;2648919840;TO2648919840;EMULSAO - ITEM 003;EMULSAO;XAROPARIA;96;RotaVita Materiais;5349;OUT;2022;10/2022;;
BA;8733374366;BA8733374366;CORANTE - ITEM 003;CORANTE;REFRIGERANTE;0;RotaVita Materiais;0;JUL;2022;07/2022;;
TO;4797496224;TO4797496224;ETANOL - ITEM 001;ETANOL;TANQUE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;4797496224;TO4797496224;ETANOL - ITEM 001;ETANOL;TANQUE;0;RotaVita Materiais;0;JUN;2022;06/2022;;
TO;4797496224;TO4797496224;ETANOL - ITEM 001;ETANOL;TANQUE;55120;RotaVita Materiais;246608;SET;2022;09/2022;;
BA;8733374366;BA8733374366;CORANTE - ITEM 003;CORANTE;REFRIGERANTE;292;RotaVita Materiais;5511;OUT;2022;10/2022;;
TO;6900471848;TO6900471848;AROMA - ITEM 024;AROMA;ENERG./DELÍR.;104;InsuTera Materiais;5207;AGO;2022;08/2022;;
BA;1782;BA1782;NÃO PRODUTIVO - ITEM 008;NÃO PRODUTIVO;CIP;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;3290357505;TO3290357505;AROMA - ITEM 007;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;3290357505;TO3290357505;AROMA - ITEM 007;AROMA;REFRIGERANTE;737;RotaVita Materiais;24189;DEZ;2022;12/2022;;
BA;8260012026;BA8260012026;EMULSAO - ITEM 004;EMULSAO;XAROPARIA;353;VitaCoper Distribuidora;135.759,58;NOV;2022;11/2022;;
BA;8260012026;BA8260012026;EMULSAO - ITEM 004;EMULSAO;XAROPARIA;0;VitaCoper Distribuidora;0;AGO;2022;08/2022;;
BA;8260012026;BA8260012026;EMULSAO - ITEM 004;EMULSAO;XAROPARIA;683;VitaCoper Distribuidora;262.785,32;OUT;2022;10/2022;;
TO;7955043974;TO7955043974;FILME - ITEM 001;FILME;VIDRO;560;RotaVita Materiais;11762;AGO;2022;08/2022;;
TO;5025219607;TO5025219607;FILME - ITEM 002;FILME;STRETCH;3201;PrimaMineral Ind. e Com.;73142;AGO;2022;08/2022;;
TO;5025219607;TO5025219607;FILME - ITEM 002;FILME;STRETCH;0;RotaVita Materiais;0;AGO;2022;08/2022;;
TO;5025219607;TO5025219607;FILME - ITEM 002;FILME;STRETCH;3132;RotaVita Materiais;71562;AGO;2022;08/2022;;
TO;5025219607;TO5025219607;FILME - ITEM 002;FILME;STRETCH;2954;RotaVita Materiais;67507;SET;2022;09/2022;;
TO;5025219607;TO5025219607;FILME - ITEM 002;FILME;STRETCH;2697;RotaVita Materiais;61616;SET;2022;09/2022;;
TO;5025219607;TO5025219607;FILME - ITEM 002;FILME;STRETCH;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;7279736766;BA7279736766;EMULSAO - ITEM 002;EMULSAO;XAROPARIA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;7279736766;BA7279736766;EMULSAO - ITEM 002;EMULSAO;XAROPARIA;217;RotaVita Materiais;7.124,51;OUT;2022;10/2022;;
BA;2648919840;BA2648919840;EMULSAO - ITEM 003;EMULSAO;XAROPARIA;0;RotaVita Materiais;0;JUL;2022;07/2022;;
MG;7386535190;MG7386535190;FILME - ITEM 002;FILME;STRETCH;0;RotaVita Materiais;0;JUL;2022;07/2022;;
MG;7386535190;MG7386535190;FILME - ITEM 002;FILME;STRETCH;0;RotaVita Materiais;0;AGO;2022;08/2022;;
MG;7386535190;MG7386535190;FILME - ITEM 002;FILME;STRETCH;2240;RotaVita Materiais;51182;SET;2022;09/2022;;
BA;2648919840;BA2648919840;EMULSAO - ITEM 003;EMULSAO;XAROPARIA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;2648919840;BA2648919840;EMULSAO - ITEM 003;EMULSAO;XAROPARIA;186;RotaVita Materiais;10443;OUT;2022;10/2022;;
BA;5708761375;BA5708761375;EMULSAO - ITEM 005;EMULSAO;XAROPARIA;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;4797496224;BA4797496224;ETANOL - ITEM 001;ETANOL;TANQUE;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;6900471848;BA6900471848;AROMA - ITEM 024;AROMA;ENERG./DELÍR.;0;InsuTera Materiais;0;AGO;2022;08/2022;;
BA;3290357505;BA3290357505;AROMA - ITEM 007;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;3290357505;BA3290357505;AROMA - ITEM 007;AROMA;REFRIGERANTE;0;RotaVita Materiais;0;AGO;2022;08/2022;;
BA;3290357505;BA3290357505;AROMA - ITEM 007;AROMA;REFRIGERANTE;1806;RotaVita Materiais;59.238,73;NOV;2022;11/2022;;
BA;5025219607;BA5025219607;FILME - ITEM 002;FILME;STRETCH;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;5025219607;BA5025219607;FILME - ITEM 002;FILME;STRETCH;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;5025219607;BA5025219607;FILME - ITEM 002;FILME;STRETCH;18537;RotaVita Materiais;370739;AGO;2022;08/2022;;
BA;1499791622;BA1499791622;FILME - ITEM 003;FILME;REFRI;678;RotaVita Materiais;9.566,39;AGO;2022;08/2022;;
CE;72492170;CE72492170;EMULSAO - ITEM 002;EMULSAO;XAROPARIA;340;AgroUni Distribuidora;12254;OUT;2022;10/2022;;
MG;8887454928;MG8887454928;FILME - ITEM 004;FILME;ÁGUA 500;0;RotaVita Materiais;0;JUL;2022;07/2022;;
MG;8887454928;MG8887454928;FILME - ITEM 004;FILME;ÁGUA 500;11630;RotaVita Materiais;274188;AGO;2022;08/2022;;
BA;1499791622;BA1499791622;FILME - ITEM 003;FILME;REFRI;0;RotaVita Materiais;0;JUN;2022;06/2022;;
BA;1499791622;BA1499791622;FILME - ITEM 003;FILME;REFRI;0;RotaVita Materiais;0;JUN;2022;06/2022;;
BA;1499791622;BA1499791622;FILME - ITEM 003;FILME;REFRI;0;RotaVita Materiais;0;JUL;2022;07/2022;;
BA;1499791622;BA1499791622;FILME - ITEM 003;FILME;REFRI;1896;RotaVita Materiais;26737;SET;2022;09/2022;;
BA;5522250435;BA5522250435;FILME - ITEM 005;FILME;JUJ/TERN;0;RotaVita Materiais;0;AGO;2022;08/2022;;
